,GRE,TF,grad_gpa,grad_rank,username
0,326（159+167+3.5）,105,,,morningsu
3,,,  3.6/4  3/50, 本科非211,ivan93
6,,,  3.2, 本科Top15 211,gouber
8,320,101,  3.56, 本科其他211,王十七
9,150+170+3,92(22),  86.39, 本科Top15 211,anim20
11,150+167+3,101(s23),  3.3/4, 本科：北大，清华，科大，中科院，特色学校牛专业,allenliu
13,155+167+3.5,99(23),  3.6/4, 本科Top15 211,剪时光
14,322,106,, 本科其他211,satankissyou
15,320+4.0,112,, 本科其他211,justinguo
17,,,  3.8, 海本,mrlinkin99
22,318,97,, 本科Top15 211,WFGN
24,V159，Q166,,  3.73, 海本,Cleopatrahelen
26,321+3,105（23）,  学校算法3.1/4 20%, 本科其他211,奈何默默
27,321,101,, 本科Top30 211,xunyz
29,730,103,  3, 本科Top15 211,victorsterling
33,321+3,102,  3.81, 本科Top15 211,Frankluo
34,151+164+4.0,101,  3.63, 本科：北大，清华，科大，中科院，特色学校牛专业,oldjade
38,,,  3.77/4.0, 海本,纯子练气性
39,161+170+3,106（23）,,,whoyo123
40,"324(V154, Q170) AW 3.5","110(R29, L29, S26, S26)","  90.3/100, WES 3.85, rank 1/23", 本科Top15 211,Lorreina
41,760,105,, 本科：南大，浙大，复旦，上交,qiuyu19900209
42,160+170+4,105（S26）,  3.82(WES成绩）90.88, 本科Top15 211,bzplbn
43,GMAT 720(5.5),CMU拼分 108(24),  3.79/4(WES) 1/35, 本科Top30 211,Clarence_Zh
44,321,105(S 23),, 本科：南大，浙大，复旦，上交,aivanessa
45,157 167 3,104（22）,, 本科Top15 211,ElenaCHAO
46,323（3.5）,105,  3.9, 本科Top15 211,liyanhui1228
51,,,  3.42, 本科Top15 211,几碗米饭
58,GMAT 740+4,109,  3.27/4.0 WES 3.4, 本科Top30 211,aprilxiao
61,157+167+3,108(s23),  3.43, 本科Top15 211,接发球
62,,100,  3.0/4, 本科其他211,ryanli
64,162+168,103,, 海本,ltd07
67,,,  3.71, 本科Top15 211,ziczyq
70,157 169 3.5,30 20 24 28,  3.54（top 30%), 本科Top15 211,qwsolitude
71,314+3.5,雅思7.5,  3.4, 本科Top30 211,mgllyyk
74,158+170+3,107(s24),  3.62, 本科其他211,nzou1991
75,321 + 3,100 (23),  89/100, 本科Top30 211,whdawn
76,314,,, 海本,haishili0105
77,147+164,waive,  3.92, 海本,gretchency
79,"318 153,165+2.5","98 28,22,20,28",  3.2, 本科其他211,cooldogrj
80,156+170+3.5,102 Speaking23,  3.75/4 WES 3.8 top2, 本科Top30 211,wtwolfprince
83,,,  3.62, 本科Top30 211,leejacky
84,152+170+4.0,28+26+23+27=104,  3.96/4.3 WES,3.92/4.0 Top 3 among 83,yucheyang2
87,318+3,102,  3.75/4.0, 本科：南大，浙大，复旦，上交,Michelle_sigh
89,321,105,, 本科Top30 211,htg
90,325,108,, 本科：南大，浙大，复旦，上交,liqingfd
96,GMAT 680 AW4.5,IELTS 7.5,  3.6/4.0 WES 3.75, 本科Top15 211,ysl12316223
101,V142 Q167 Total309,R28 L24 S20 W22 Total94,, 本科非211,HybridSuns
103,710 + 5,IELTS 7,  2.0/4.0    73/100, 本科其他211,justkz
106,700+6,110,  3.7, 本科Top30 211,elsa
111,710（5.0）,100（27）,  3.3/4.0, 本科Top15 211,rainaxxchan
113,151+170+3.5,100(S22),, 本科Top30 211,ppppudding
115,v157+q170,93（s24）,  82/100, 本科Top15 211,loloxfx
116,320,100,, 本科Top30 211,qingzi1993
117,159+170+3.5,106(24),  3.52/4.00, 本科Top15 211,Kinatahsama
122,161 170 3,104(24),  3.4/4.0, 本科：南大，浙大，复旦，上交,maxio110
126,,105 S23,  3.63, 本科Top15 211,baimaoguhuimao
129,,,  3.82, 本科：南大，浙大，复旦，上交,kevinkaizhou
143,,,  WES 3.08, 本科：北大，清华，科大，中科院，特色学校牛专业,amber0311
144,326,101,  3.5,,amyzen
146,324+3.5,105(24),"  wes 3.96/4, 1/32", 本科Top15 211,BooOnnies
148,150+170+2.5,93（S19）,, 本科其他211,ABAJ
149,,,  3.61/4.0, 本科Top15 211,我要去美国
151,,,  3.42, 本科其他211,llx
154,320,94,  3.0/4, 本科其他211,JunoJ
156,149+158+3,90(22),  3.67, 本科Top15 211,Venchyy-go-US
157,307,84,  3.4/4.3, 本科其他211,沉默的小马
161,161+169+4,110 (s24),, 本科：北大，清华，科大，中科院，特色学校牛专业,Yuno
163,316,97,  3.5, 本科Top30 211,aaaeeeo
166,319,102,, 本科其他211,flamencoer23
170,324 (V154/Q170) + AW 4.0,106 (R27/L29/S22/W28),  3.97 (12/,,acsalu
175,157+170+3.5,29+30+23(S)+27=109,  83.9/100 Rank15%, 本科非211,onlyforreg
179,143 166 3,95,  88/100, 本科：南大，浙大，复旦，上交,wyjzhi89
185,148+165+3.0,105,  84.4, 本科Top30 211,lanabc
187,313+3,93(23),  85, 本科：北大，清华，科大，中科院，特色学校牛专业,北方的精灵
188,,,  10%, 本科：南大，浙大，复旦，上交,sleepycactus
190,159+170+4,106,  3.24你懂的, 本科：北大，清华，科大，中科院，特色学校牛专业,Wilford
195,141+165+3,94（22）,  3.66（4/201）, 本科非211,吱吱
196,320+2,93(20),, 本科其他211,努把力就申完了
200,,,  3.25, 本科非211,reasonapp
206,315,100,"  3.66/4, 4/201", 本科非211,LJYee
207,317,94,, 本科：北大，清华，科大，中科院，特色学校牛专业,yyyang
209,157+170+3.5,103,  3.55, 本科Top30 211,zhengdawei911
210,322+3.0,105 Speaking 24,, 海本,haiweiosu
212,GMAT 620 (捂脸狂奔 估计没有比我还低的了),IELTS 7,  3.49, 本科非211,espange
215,315+3.0,90,  86,,shuier616
219,150+167=317+3,28+30+20+23=101,  3.0(WES), 本科：北大，清华，科大，中科院，特色学校牛专业,多多多多多
220,160+168+5,,  3.58/4, 海本,l328
222,146 170 3,100 (22),  3.72 / 3.89,,xystudioo
224,325,112（S 28）,  3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,mm1017
227,325+3,103 s22,  89.2/100 top1, 本科其他211,Paulnet
235,155+163+3.5,waived.  2008年考过94分,  Overall 3.7/major mis,3.8 cs,2239168
237,317=149+168   AW:3.0,100=28+29+19+24,  3.61/4.0 (WES), 本科非211,Jack_S
243,550+800+3.5,107(30+25+23+29),  4.55/5.0 Rank, 1/27,iPhD
245,720,103,  3.5, 本科其他211,kira_HC
247,1260(3),101(22),, 本科Top15 211,lyle
248,319+3.5,103（23）,  87（3/41）, 本科Top30 211,norafang
249,149+170+3=319+3,101(18),  87.3, 本科Top30 211,messyji
250,154 165 3,100(23),  3.48, 本科：南大，浙大，复旦，上交,wongwill325
256,150+170+3,108(s24),  87/100, 本科Top30 211,snooze
257,158+168+3,108(23),  3.5, 本科Top15 211,tcstar
258,151+165+3.0,103,  83/100, 本科：南大，浙大，复旦，上交,tq5124
259,153+170+3.5,103(22),  3.53(WES), 本科非211,lonely-melon
262,161+170+3.5,104(22),  3.81(wes), 本科Top30 211,jacie
265,159+167 = 326,29+28+27+29 = 113,  4.89/5.00, 海本,baibai88
266,334,112,  3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,zj45499
270,323,95,  wes 3.8, 本科Top30 211,littlerr
274,314+3.5,24+24+23+23,  5%,,云绾Yuqing
278,155+168+3.0,26+27+22+25,  3.48, 本科：北大，清华，科大，中科院，特色学校牛专业,mouwu.lin
279,320,100,  3.92/4, 本科：南大，浙大，复旦，上交,wave4721
281,324（155+169+3.5),102（22）,  84/100, 本科其他211,riskjunk
282,,101,  3.3, 本科：北大，清华，科大，中科院，特色学校牛专业,dmmzmm
284,GMAT 710,IELTS 7.0,  GPA3.71(WES), 本科Top30 211,sunnysilvia
290,710 (IR8 AW5.5) gmat,97..,  WES 3.42 (7/38), 本科Top30 211,lzlindy
297,155+169+3.0,105（29+24+26+26）,  3.49, 本科：南大，浙大，复旦，上交,Gvnfy
302,GMAT 720,93,, 本科非211,suosssss
305,334,109,  3.7/4.0, 本科：南大，浙大，复旦，上交,yeehon
307,319+3,101（23）,  81.3/100, 本科非211,jessiehahahaha
310,３２０－３２５,ｗａｉｖｅ　雅思6.5,, 海本,q198800287
311,1560,100,  82.38/100, 本科其他211,swangel
312,550+790+3,108（24）,  3.9/4（北航算法）, 本科Top30 211,月涌大江流
314,320,103,  88/100, 本科其他211,rydgelee
317,313,84,  3.21/5,,tommy1122337
322,"324,3.5",104,  3.55（5）=85.5（100）, 本科非211,壹心向佛
324,320（150+170）,91（18）,  2.89, 本科非211,sunnyeee
327,,,  86/100, 本科Top15 211,narcotic
331,153+168+3.5,106(23),  85, 本科：北大，清华，科大，中科院，特色学校牛专业,ppks710
332,159+168+3,105(S23),  89.9, 本科Top30 211,dolphin_wby
334,152+169+3,102（S20）,  90.2/100 排名不清楚, 本科Top15 211,mikeyangh1992
335,V157 Q169 AW3.0,"106 (R28, L27, S26, W25)",  84.64  rank,20/200(除开保研),chen482
336,329(4),104(23),, 本科Top15 211,A30041839
337,168+151,91 (S22),  84, 本科Top30 211,rackingroll
338,V161+Q166+3.0,102(23),, 本科Top15 211,lingyy
339,153+170+3.0,30+27+22+26,  3.43/4， Major 3.68/4, 海本,wuyang1992
343,329+3.0,108,  3.8/4.0 武大算法 排名4/217, 本科Top15 211,heroic
344,620+800+3.0,108,  3.67, 本科Top30 211,Aaron_Liu
345,156+168+3.0,30+29+22+27=108,  3.8+/4.3 89+/100 Ranking,10+/100+,sjh2011
346,151+165+3,102(23),  87, 本科Top15 211,vincentwizard
347,314,107,, 本科Top30 211,hammer9132
348,154+170+3,100/s23,  2.93/4, 本科Top30 211,AbracadaBudda
350,157+168+3,106,  90, 本科：北大，清华，科大，中科院，特色学校牛专业,helloshch
353,,,  90/100 Rank1, 本科Top15 211,poiiopppooii
355,162+169+4.5,104,  87/100, 本科：南大，浙大，复旦，上交,wayof
356,170+157+4.0,113(S26),"  4/198, 4.44/5.0", 本科：南大，浙大，复旦，上交,sabrinasong
357,162+170+4.0,111 (24),  TOP 8%, 本科：南大，浙大，复旦，上交,33300qq
358,150+170+3.5,107(23),  91.4/100, 本科：南大，浙大，复旦，上交,JoeWest
360,159+170+3.5,104 (s23),"  90.8, major 92.46, top2%", 本科其他211,AIw0916
361,153+170+3,102(s20),  87/100, 本科：南大，浙大，复旦，上交,snow_sword
362,540+800+3.0,108(23),  3.32, 本科：南大，浙大，复旦，上交,peanu
364,,,  3.0, 本科：北大，清华，科大，中科院，特色学校牛专业,hadoopG
365,157+167+3.5,102(S23),, 海本,筱瞳
366,149+169+3.5,,  3.80, 海本,annierzhou
367,330 + 3.5,102(23),  3.60, 本科Top15 211,jasonl815
368,V152+Q166+3.5,105(23),, 本科Top15 211,Firework
369,319,107,  3.3/4/3, 本科：北大，清华，科大，中科院，特色学校牛专业,slxu
374,330+3.5,114(27),  3.65, 本科：南大，浙大，复旦，上交,muybienw
375,331（3.0）,101（23）,  88.9 gpa忘了 8/400, 本科其他211,wangxiaohuigre
376,V147+Q168+AW3.5=315,R24+L29+S17+W28=98,  3.98/4, 本科Top30 211,firefighter
377,1383 = 580 800 3,100(24),  3.52, 本科Top15 211,kobezhaowei
378,"327, V158+Q169+AW3.0","109, R29+L30+S23+W27","  84/100, 40/170", 本科：南大，浙大，复旦，上交,lutianhan08
380,162+170+3.5,109,  3.7/4, 本科：南大，浙大，复旦，上交,eonian
381,,,  3.94/4, 本科：南大，浙大，复旦，上交,wy348202265
383,326+3,109,  4.58/5, 本科Top30 211,wangyuesong2
386,156+170+3,L：27    R：29  W：24  S：24   total：104,  3.55/4      13/51, 本科Top30 211,Lycn_Cross
388,159+168+3.0,110 (s24),  GPA 89 + 2/300, 本科Top15 211,linaohan1993120
389,V159 Q168 W5.0,,  3.9/4.0, 海本,BillyLoc
396,157+170+3.0,27+30+22+24,  87.1 RANK,18,honiess
397,154+170+3.5,30+26+22+28=106,  3.24/4.00  排名中等, 本科：南大，浙大，复旦，上交,gqjapply
399,154+170+4.0,108,  3.3/4.3, 本科：南大，浙大，复旦，上交,cadywsq
401,153+165+3.0,107(22),  82%, 本科非211,Emerson_Ding
405,,,  84/100, 本科其他211,nickyzhi
406,147+170+3.5 / 150 + 168 + 3.5,28+24+23+27=102,  3.75/4.0 Rank 3, 本科：南大，浙大，复旦，上交,372284362
408,,,  88.65/100, 本科：南大，浙大，复旦，上交,南方的狼
409,321+3.5,108（23）,  89/100, 本科Top15 211,gynirvana
411,151 165 4.0,103  22,  86.16, 本科Top30 211,azbycxdz
413,324+3.0,96(20),  3.3, 本科Top15 211,markqzheng
414,154+169=323(3),109(23),  86.7/100, 本科：南大，浙大，复旦，上交,gc1993114
415,317+3.5,100,  89.5, 本科Top30 211,miss_snow
416,156+170+3,100(22),  85.6/100, 本科：南大，浙大，复旦，上交,tong-1324
417,,,  88, 本科Top15 211,sdudxf
418,158 170 328 3.5,29 28 24 26 = 107,"  88/100,  top 5%", 本科Top30 211,zl9394
419,157+167 3.0,108(22),  3.44/4 (25%), 本科：北大，清华，科大，中科院，特色学校牛专业,wbcustc
420,151+167+3.0,24+26+22+30=102,"  88/100, 5/150", 本科Top15 211,huiyuning
421,490+800+3,WAIVED,  3.1, 本科其他211,collwe
422,GMAT 710 Q49 V37 AWA 5,R30 L24 S26 W28 Total 108,  3.57/4 排名3, 本科非211,leoooodu
425,154 + 167 + 3.0,106(23),  3.68 10%, 本科：南大，浙大，复旦，上交,活性氧
426,322+3,105,, 本科：南大，浙大，复旦，上交,霍尔顿
427,V156 Q170 AW3.5,103 (S24),  Top 5%, 本科：南大，浙大，复旦，上交,Dayflower
429,323+3.0,99(24),, 本科：南大，浙大，复旦，上交,blue_shut_grab
430,318(148+170)+3.0 316(152+164)+3.5,102(S20+L29+R25+W28),  3.5/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,bersserker
431,153+168+3.0 (321),29+27+22+25 (103),  4.0/5.0, 本科非211,290219306
432,144+168+3.0,92(19),  3.5(北航算法), 本科Top15 211,infinity730
435,152+168+3.5,30+25+22+24=101,  90.3/100, 本科Top30 211,sam2015
436,330+3.0,108(22),  3.44, 本科：南大，浙大，复旦，上交,AndyLiu0429
437,160+162+3,108,  86, 本科Top30 211,坑仔
438,318,101(22),  86.8, 本科Top15 211,披着马甲的菠菜
439,153+169+3.5,102(S24),  3.8/4, 本科Top15 211,omegaga
440,153+170+3.5,103(22),  3.7/4, 本科：北大，清华，科大，中科院，特色学校牛专业,lyzstc
441,323(154+169)+3,106(S24),  86.7, 本科：南大，浙大，复旦，上交,静月流光
443,153+165+3,101（22）,  86/100, 本科Top15 211,lmstc16lmstc16
445,152+168+3。0,105,  3.64/4.0, 本科：南大，浙大，复旦，上交,LumiG
447,149+162+3,92(22),  3.32/4, 本科Top30 211,singku
449,154+170+3.5,100,, 本科：北大，清华，科大，中科院，特色学校牛专业,Tchief
450,156+170+4,28+29+23+29 = 109,  4.56/5 rank1, 本科：南大，浙大，复旦，上交,罹年
454,152+170+4.0,,  4.0/4.0, 海本,Naruremodopris
455,160+155+4.5,110,, 本科：北大，清华，科大，中科院，特色学校牛专业,落水狗
458,157+168+3.5,102(27+23+23+29),  overall,"89.86, major",gjxwin
459,,,  3.7, 本科Top15 211,sumbo
462,156 167 3,100,"  90/100, top 1%", 本科Top30 211,么凹
464,,,  major86.96，overall84, 本科Top15 211,alphard
465,,,  86, 本科Top15 211,Joyce5211
468,V161 Q169 AW3.0,102(23),  88, 本科Top30 211,CYCY
470,"V158, Q170, 4.0",R30 L28 S23 W27 108,"  3.7,  排名50%",,brian1118
472,316,107,  3.16/4, 本科其他211,devarenacn
474,323(V153 Q170 AW 3.0),102(R30 L24 S20 W28),  3.8/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,zhujf553
476,320,103（18）,  3.622, 本科：南大，浙大，复旦，上交,salamanderrex1
477,142+170+3.5,28+27+22+26=103,  3.57/4.00 Rank 13/95, 本科：南大，浙大，复旦，上交,zzzregister
479,"159+170, 3.5",103(23),"  3.69/4.00, 5/75", 本科：南大，浙大，复旦，上交,AspirinSJL
480,151+168,,  3.7/4, 海本,njshenyu
481,159+170+3.0,103（24）,  三点九九/四点三,HKUST 三点八,sunlei_1993
484,V151+Q166+AW4.0,R30+L29+S20+W27=106,  89/100, 本科Top15 211,fwtan
485,152+165,99(20),  3.2, 本科Top30 211,schnappi
486,V168 Q170 AW3.5,109 S22,  低！, 本科：南大，浙大，复旦，上交,simonw27
487,324+3.5,108,  3.42/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,pacman
488,150+170+3.5,101(23),  89/100, 本科其他211,whyvic13
489,318+3.5,106/26,  89, 本科Top15 211,bjtuharris
490,155+168+3.0,95（20）,  3.66/4, 本科Top30 211,jiangsl
491,330,114,,,TH999
492,325(AW3.0),103(s23),  Department calculated, 89.72,ForTheAC2015
494,159+168,111(26),  3.83/4.3, 海本,mengqwang2
495,V157+Q170+4.0,106 (S20),  91.5/100, 本科：北大，清华，科大，中科院，特色学校牛专业,wangsl11
496,315,93,  87, 本科Top15 211,hymhjh
498,"330+, aw=4.0",waived,  3.9+, 海本,let_it_be
500,159+170+4,Waived,, 海本,tobyljj
502,"V158, Q170, AW3.5",98(S20),, 本科Top15 211,coperdli
504,152+170+3,95（20）,  4.9/5.0（我们学校不算选修课）ranking 1/87, 本科其他211,geminiiiiiii
506,320(150+170+3.5),99(S23),"  89/100, Ranking", 2%,HappyZhou
507,318,98,  3.76/4, 本科Top30 211,ethanle
508,323+3.5,109,  3.88/4 (Transcrip), 本科Top15 211,苹果
511,304+3,"99, S(24)",  3.4, 本科非211,provhomme
513,316+3,97(20),"  overall gpa 88/100,3.6/4 major 90/100,3.78/4", 本科非211,Yuao_Liu
514,154+169+3.0,102(22),  87/100, 本科Top15 211,nanmanxiaozhu
515,152 + 170 + 3.5,108 (24),  3.84/4.0 (88), 本科：南大，浙大，复旦，上交,ChanCheng
517,319+3.0,101（22）,  87.54/100, 本科Top30 211,usa521
519,320,101,  3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,wsd10
521,320,100,  18/220, 本科：南大，浙大，复旦，上交,jessicaji
523,327+4.5,114,  3.99, 海本,perfectionming
527,V153+Q170+AW3.5,100(S19),"  4.16/5,  排名29/198", 本科：南大，浙大，复旦，上交,billjyc
528,150+170+3.0,92(22),  84.5, 本科Top30 211,vicky95
529,318 + 3,99(20),  85.4, 本科非211,cocoabean
531,152+168+3.5,108(S20),  3.77/3.92(Major), 本科：南大，浙大，复旦，上交,罗大宝
532,151+170+3.0,104(26),  3.8+3.75,,xchenan
538,317,94,  79/100, 本科：北大，清华，科大，中科院，特色学校牛专业,bigkiss0604
542,V152 Q164 AW3.5,26+28+24+27=105,  3.6, 本科其他211,mrholiday
546,"164,169,3.5",30+30+24+28,, 本科：北大，清华，科大，中科院，特色学校牛专业,HeHePHD
547,"155+170,3.5",107(23),, 本科：北大，清华，科大，中科院，特色学校牛专业,luzc
548,161+170+3.5,106,  top 10%, 本科：南大，浙大，复旦，上交,jerryzh
549,319 + 3,waive,HK,  3.5/4,哈巴崽
551,326,110,  85.68,,fasthall
553,150 170 3,28 26 23 29,  3.62/4, 本科：南大，浙大，复旦，上交,南慕伦
555,153+170+3.0,102(20),  88/100, 本科：北大，清华，科大，中科院，特色学校牛专业,luang008
573,325 + 3,106 (S24),  89+/100, 本科其他211,ArtisticLife
574,丢脸 314（3）,丢脸 90 （20）,"  87/100, 6/265", 本科非211,玉宇清澄
576,157+170+3.5,111(23),  3.78/4, 海本,HackerYoung
577,156+170+4.0,109,  88, 本科：北大，清华，科大，中科院，特色学校牛专业,zhoujl10
578,,,  3.2, 本科Top15 211,zhangyue823
580,153+168+3,102(S22),  90     1/180, 本科Top30 211,默de途
581,154+168+3,105(22),, 本科Top30 211,uranus23
583,152+169+3,101,  overall 87.3,,wwtwxlwjh
586,159+170+3.5,108 (s23),  91.9, 本科Top30 211,wryswa
588,156+168+3.5,99（20）,  91.4/100, 本科Top15 211,小赖、
591,320+4,107,, 海本,youlixiang
592,v157+q170+aw3,106(s24),  4.46/5.0, 本科Top15 211,stormmax
595,162+148+3.0,92(S19),  2.45/4, 本科非211,liukailzb
596,329,,, 海本,xlhdh
598,,,  1/4, 本科：北大，清华，科大，中科院，特色学校牛专业,低调奢华
600,322/3.5,104,  88.3, 本科：南大，浙大，复旦，上交,hsama
602,312,81,  3.41, 本科Top15 211,simonsong
606,319+3,101(23),  3.7, 海本,wds41138
610,154+168＋3,106/22,, 本科：南大，浙大，复旦，上交,jimmyhbx
611,161+170+3.0,107,  3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,brendaV
613,328,106,  82/200, 本科Top30 211,cicean
614,152+170+3.5,差,, 本科：南大，浙大，复旦，上交,snowymo
