,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank,username
284,,325,,100,3.71, 本科Top30 211,sunnysilvia
4120,3,322,24,110,3.71, 本科：北大，清华，科大，中科院，特色学校牛专业,lyn6850133
67,,,,,3.71, 本科Top15 211,ziczyq
222,3,317,22,100,3.72,,xystudioo
1200,3,318,,100,3.72, 海本,remix
4090,3,323,23,102,3.72, 本科：北大，清华，科大，中科院，特色学校牛专业,dc93
1164,3,330,22,103,3.72, 海本,hanxiaojin21
3531,3,317,23,103,3.72, 本科：南大，浙大，复旦，上交,Deus
3004,3.5,325,19,104,3.72, 本科：南大，浙大，复旦，上交,nikki3128
3119,3.5,320,22,104,3.72, 本科Top15 211,mxw699
2901,,319,,104,3.72, 本科：南大，浙大，复旦，上交,Alice_koi
3925,3,325,28,108,3.72, 本科其他211,wwk55551111
886,3.5,329,24,114,3.72, 本科：南大，浙大，复旦，上交,zsycn
2105,,324,,,3.72, 海本,kingkingkiki
4240,,,,,3.727, 海本,老子姓锅
3208,3.5,321,20,94,3.73, 本科Top30 211,warlock333
2313,3,324,,104,3.73, 本科Top30 211,yyypasserby
1904,3,324,23,106,3.73, 本科Top30 211,ForeverZard
971,,325,23,108,3.73, 本科：南大，浙大，复旦，上交,ywmaggie
494,,327,26,111,3.73, 海本,mengqwang2
1276,4.5,330,28,115,3.73, 海本,alexontheway
24,,325,,,3.73, 海本,Cleopatrahelen
883,3,320,23,95,3.74, 本科Top30 211,popandroid
1322,,328,,100,3.74, 海本,shenroong
945,4,333,30,119,3.74, 海本,gz3229
1408,,,,,3.74, 本科Top30 211,apologize119
2248,3.5,311,,,3.74, 海本,哈哈笑个傻
3203,,,,,3.74, 本科Top30 211,kevinanu
3249,,316,,95,3.75, 本科：南大，浙大，复旦，上交,zjuzqj
778,3,326,23,98,3.75,,CindyHuang
3998,3,327,22,100,3.75, 本科：南大，浙大，复旦，上交,xuyuhao
2918,3.5,318,23,100,3.75, 本科非211,dhend
1242,,318,22,102,3.75, 海本,北游少年
406,3.5,318,23,102,3.75, 本科：南大，浙大，复旦，上交,372284362
87,3,318,,102,3.75, 本科：南大，浙大，复旦，上交,Michelle_sigh
3932,4,320,24,106,3.75, 本科：南大，浙大，复旦，上交,liliman
955,3.5,323,,,3.75, 海本,xli294
2290,,,,,3.75, 海本,fuqianran
3846,4.5,329,,,3.75, 海本,ivymew
507,,318,,98,3.76, 本科Top30 211,ethanle
3419,,315,,99,3.76, 海本,stu1130
2817,3,320,,100,3.76, 海本,0.0sun
3989,,323,,100,3.76, 海本,djn658
4018,3,320,23,105,3.76, 本科其他211,Smush
1370,,325,24,107,3.76, 本科Top15 211,sherry900629
3540,4,333,23,111,3.76, 本科：北大，清华，科大，中科院，特色学校牛专业,xf814
3977,3.5,326,,111,3.76, 本科：南大，浙大，复旦，上交,Junecesty
2524,3,327,,100,3.77, 本科Top15 211,zzw
2823,3.5,327,23,106,3.77, 本科：南大，浙大，复旦，上交,gaoyuan19930220
2318,,319,,107,3.77, 本科Top15 211,citystrawman
531,3.5,320,20,108,3.77, 本科：南大，浙大，复旦，上交,罗大宝
38,,,,,3.77, 海本,纯子练气性
1391,3,315,19,97,3.78, 本科Top30 211,xuzhiyuan1528
3898,3,326,,107,3.78, 本科：北大，清华，科大，中科院，特色学校牛专业,yuanfang0524
576,3.5,327,23,111,3.78, 海本,HackerYoung
1180,,,,,3.78, 本科Top30 211,hhhhchen
1986,,317,,91,3.79, 本科非211,bentan_007
4162,3.5,317,23,100,3.79, 本科Top30 211,kendy1992
3378,3,327,22,107,3.79, 本科Top15 211,213123418
43,,327,24,108,3.79, 本科Top30 211,Clarence_Zh
3198,4,335,,114,3.79, 海本,mralwaysright
2776,,319,19,94,3.8, 本科Top15 211,songhm
270,,323,,95,3.8, 本科Top30 211,littlerr
3076,,322,,100,3.8, 本科Top15 211,倚天开鞘
3966,3.5,318,,100,3.8, 本科：南大，浙大，复旦，上交,hexiangh
474,3,323,20,102,3.8, 本科：北大，清华，科大，中科院，特色学校牛专业,zhujf553
80,3.5,326,23,102,3.8, 本科Top30 211,wtwolfprince
439,3.5,322,24,102,3.8, 本科Top15 211,omegaga
4248,3.5,321,23,103,3.8, 本科Top15 211,lplrobert
481,3,329,24,103,3.8, 海本,sunlei_1993
2323,,324,26,103,3.8, 本科Top15 211,CharlesLeeSysu
4058,3,327,,103,3.8, 本科：南大，浙大，复旦，上交,kittenh2o
532,3,321,26,104,3.8,,xchenan
1961,,127,,104,3.8, 本科：南大，浙大，复旦，上交,CindyWen
4098,3.5,323,,105,3.8, 海本,raypeng
2094,4,328,22,106,3.8, 本科：南大，浙大，复旦，上交,李十一次郎
1976,3,324,,106,3.8, 本科Top30 211,determing
3901,3.5,326,23,107,3.8, 本科Top15 211,A_nonymous
345,3,324,22,108,3.8,,sjh2011
343,3,329,,108,3.8, 本科Top15 211,heroic
623,3,329,23,110,3.8,,wcyz666
876,5,322,,113,3.8, 海本,sliu0915
17,,,,,3.8, 海本,mrlinkin99
366,3.5,318,,,3.8, 海本,annierzhou
685,,,,,3.8, 本科Top15 211,whitelez
1956,3,320,,,3.8, 本科非211,jiaowcg88
2540,,,,,3.8, 海本,firstfish1993
2746,,,,,3.8, 本科其他211,pirateshadow
3891,,,,,3.8, 本科：南大，浙大，复旦，上交,caris_lac
4165,,,,,3.8, 海本,tomatojam
3094,3,330,20,100,3.81, 本科Top30 211,hjj123567
1116,3.5,315,,100,3.81, 本科Top30 211,moonsky219
33,3,321,,102,3.81, 本科Top15 211,Frankluo
3187,,321,,102,3.81, 本科Top30 211,davidzxs
802,3.5,319,20,103,3.81, 本科：南大，浙大，复旦，上交,jxzhuge12
262,3.5,331,22,104,3.81, 本科Top30 211,jacie
3671,3,321,,100,3.82, 本科Top30 211,翱翔天空的蜗牛
3433,3,324,22,102,3.82, 本科：南大，浙大，复旦，上交,zjhzjhzjh1026
3805,3,321,22,103,3.82, 本科非211,AbelJiang
42,4,330,26,105,3.82, 本科Top15 211,bzplbn
129,,,,,3.82, 本科：南大，浙大，复旦，上交,kevinkaizhou
3416,,,,,3.82, 海本,small.buxie
1149,3,321,,96,3.83, 本科Top15 211,蓝色蝶殇
2787,3,309,23,97,3.83, 本科Top15 211,ryan7six
840,3.5,323,,100,3.83, 海本,jinfang
1292,3,319,,100,3.83, 海本,csy921125
2845,4,323,,100,3.83, 海本,CoolCapri92
4104,3,323,23,102,3.83, 本科：南大，浙大，复旦，上交,yanghanyu1m3fd
4190,3.5,323,23,102,3.83, 本科Top30 211,lxao
4236,5,325,,107,3.83, 本科非211,stk2010
4055,3.5,323,,108,3.83, 本科：北大，清华，科大，中科院，特色学校牛专业,Zhengyuan.Yang
3059,,326,,,3.83, 海本,truffer
2951,3,321,22,103,3.84, 本科其他211,Susan627
3812,2.5,322,,96,3.85, 本科Top30 211,Sooniy
4187,3,322,,99,3.85,,junjunsky
658,3,319,22,102,3.85, 本科：南大，浙大，复旦，上交,littlekobewx
2875,3.5,322,,102,3.85, 本科Top30 211,sdlcenjoy
794,3.5,328,19,104,3.85, 本科Top15 211,ghost33
2879,3,328,23,106,3.85, 本科：南大，浙大，复旦，上交,firebb
3974,4,327,22,108,3.85, 海本,ignescent
40,3.5,324,26,110,3.85, 本科Top15 211,Lorreina
2107,,,,,3.85, 本科：南大，浙大，复旦，上交,musteryu
4143,,318,,92,3.86, 本科：南大，浙大，复旦，上交,a554b554
843,3,330,,,3.86, 海本,lanseyyu
2553,,326,,,3.86, 海本,jerrywangzi
2385,3,322,20,101,3.87, 本科：南大，浙大，复旦，上交,namelessness
2099,4,329,,,3.87, 海本,terryliutc
3941,,,,,3.87, 本科：南大，浙大，复旦，上交,yhcbme
4286,5,330,,,3.87, 海本,elrohirrocks007
804,3,319,18,94,3.88,,hzhzchengy
3971,,320,,102,3.88, 本科Top30 211,punkl
3861,3.5,331,22,104,3.88, 本科Top30 211,飞天小女鬼
508,3.5,323,,109,3.88, 本科Top15 211,苹果
4141,3.5,323,24,110,3.88, 本科：南大，浙大，复旦，上交,Thorium
3124,3,323,22,99,3.89, 本科Top30 211,orange_leave
1036,,,,100,3.89, 海本,aoisky
3893,3,321,19,102,3.89, 本科其他211,daiker
2701,3,327,22,104,3.89, 海本,洗脑进行中
2762,,325,,105,3.89, 海本,ailsa4v
978,4,328,,111,3.89,,zcrunsun
265,,326,27,113,3.89, 海本,baibai88
649,,325,,,3.89, 海本,414337290
2114,2.5,318,,,3.89, 海本,wlj2100
504,3,322,20,95,3.9, 本科其他211,geminiiiiiii
498,4,330,,100,3.9, 海本,let_it_be
2487,3,322,23,104,3.9, 本科Top15 211,eve178
2881,3.5,324,22,105,3.9, 本科：南大，浙大，复旦，上交,nblintao
3662,3,323,24,105,3.9, 本科：南大，浙大，复旦，上交,Bran
46,3.5,323,,105,3.9, 本科Top15 211,liyanhui1228
1079,3.5,317,,106,3.9, 海本,shangmo
4054,3,334,,107,3.9, 本科其他211,wty60215
312,3,,24,108,3.9, 本科Top30 211,月涌大江流
2878,3,332,24,108,3.9, 本科：北大，清华，科大，中科院，特色学校牛专业,levythu
3639,,332,,109,3.9, 本科：南大，浙大，复旦，上交,vivian001
2010,,329,24,111,3.9, 海本,zblzcj
389,5,327,,,3.9, 海本,BillyLoc
2233,3,328,,,3.9, 海本,lwill
2455,,,,,3.9, 本科Top15 211,linjiaweiok
2598,,,,,3.9, 海本,ann_good2005
3130,,,,,3.9, 海本,seanxl
3506,,,,,3.9, 本科：北大，清华，科大，中科院，特色学校牛专业,lxtlppl920
3642,,,,,3.9, 海本,HyperZealot
1919,3,324,,95,3.91, 本科非211,ggoddawn
4249,3,323,,104,3.91,,Believers
700,4.5,331,,,3.91, 海本,tangyuhan123
2097,,,,,3.91, 本科：南大，浙大，复旦，上交,锦字难偶
2220,3,325,,,3.91, 海本,wuditharll
3431,3.5,329,22,97,3.92, 本科Top30 211,GetMeNow
279,,320,,100,3.92, 本科：南大，浙大，复旦，上交,wave4721
84,4,322,23,104,3.92,,yucheyang2
77,,311,,,3.92, 海本,gretchency
3471,3.5,324,,,3.92, 海本,billlipeng
4075,3.5,325,22,106,3.93, 本科：南大，浙大，复旦，上交,yyuar
2315,3.5,322,,,3.93, 海本,hopezmr
2669,3,316,23,94,3.94,,punk86862011
381,,,,,3.94, 本科：南大，浙大，复旦，上交,wy348202265
719,,,,,3.94, 本科：北大，清华，科大，中科院，特色学校牛专业,konlzp
4073,4,327,,,3.94, 海本,caiqizhe
3666,3.5,324,20,106,3.95, 海本,si_rius
3359,4,328,24,106,3.95, 本科Top15 211,vitamin78
1039,,328,,108,3.95, 本科Top30 211,yy80884676
3017,,,,,3.95, 本科：南大，浙大，复旦，上交,imdn
146,3.5,324,24,105,3.96, 本科Top15 211,BooOnnies
2714,,327,,106,3.96, 本科Top15 211,slothOn
2098,3.5,324,,109,3.96, 本科：南大，浙大，复旦，上交,laurantmanaco
170,4,324,22,106,3.97,,acsalu
4097,,327,26,113,3.97, 海本,aaacabad
3530,,,,,3.97, 海本,zznhacker
376,3.5,315,17,98,3.98, 本科Top30 211,firefighter
3911,4,324,,107,3.98, 海本,jiaqigu
2957,,325,,109,3.98, 本科：南大，浙大，复旦，上交,zhangwengame
2764,4,328,23,110,3.99, 海本,MayYao
523,4.5,327,,114,3.99, 海本,perfectionming
4138,4,328,,,3.99, 海本,lixx29381031
2723,3.5,331,,105,4, 海本,顶塔狂魔黄继光
454,4,322,,,4, 海本,Naruremodopris
627,3,319,22,93,3.3, 本科：南大，浙大，复旦，上交,甘蓝白芷
3766,3.5,325,,104,3.92, 本科Top15 211,yuxz
3836,3,317,23,102,72.7, 本科Top30 211,liuhanyu1030
103,,326,,100,73, 本科其他211,justkz
4254,3.5,318,,94,75, 本科Top15 211,clxiangg
2113,,317,,105,75, 本科：北大，清华，科大，中科院，特色学校牛专业,wwxhero
1325,3.5,320,19,98,76, 本科：北大，清华，科大，中科院，特色学校牛专业,mayyyyyy
621,3,309,23,98,77.7, 本科Top15 211,xcheee
1871,2.5,308,19,82,79,,U.S.A
538,,317,,94,79, 本科：北大，清华，科大，中科院，特色学校牛专业,bigkiss0604
860,3,319,,96,79, 本科Top30 211,Meile
4156,3,322,19,102,79, 本科：北大，清华，科大，中科院，特色学校牛专业,liudangyi
2613,3,322,,106,79.3, 本科Top30 211,pplayboyy
3477,2.5,315,,84,80, 本科Top15 211,xust
2547,3,312,17,85,80, 本科Top30 211,zhuzhuhoho
3984,3.5,332,23,106,80, 本科：北大，清华，科大，中科院，特色学校牛专业,guaguazeezon
2856,,327,,112,80, 本科：北大，清华，科大，中科院，特色学校牛专业,nickdgu
1134,,,,,80, 本科其他211,kraks
3120,,,,,80.1, 本科Top15 211,tyrionz
1092,,,,,80.88, 本科Top30 211,nnq
924,3.5,324,18,96,81, 本科：南大，浙大，复旦，上交,FutureCo
4136,2.5,316,23,98,81, 本科Top30 211,qzheng93
665,3,322,23,100,81, 本科：北大，清华，科大，中科院，特色学校牛专业,markieff
831,3,321,,101,81, 本科其他211,destyfog
1050,3,319,,101,81, 本科：南大，浙大，复旦，上交,zhuce_yige
4270,3,321,22,102,81, 本科Top15 211,silence_shadow
697,3,321,,105,81, 本科Top30 211,lucyjuicy
2212,3,319,,81,81.11, 本科其他211,jqbym
307,3,319,23,101,81.3, 本科非211,jessiehahahaha
853,3.5,315,19,103,81.3,,dc_726
4013,,,,,81.62,,THeCrusader
115,,327,24,93,82, 本科Top15 211,loloxfx
923,3,309,19,100,82, 本科：南大，浙大，复旦，上交,jack213
4124,3,318,19,101,82, 本科其他211,ShalynChin
613,,328,,106,82, 本科Top30 211,cicean
401,3,318,22,107,82, 本科非211,Emerson_Ding
311,,,,100,82.38, 本科其他211,swangel
3112,3.5,320,23,96,82.6, 本科Top15 211,超凡奇岩
3446,,,,,82.8, 本科：北大，清华，科大，中科院，特色学校牛专业,qwerte
3884,,,,,82.8, 本科：北大，清华，科大，中科院，特色学校牛专业,2538752252@qq.c
642,3,314,,91,83, 本科Top30 211,ChaosandCosmos
770,3,318,19,97,83, 本科：北大，清华，科大，中科院，特色学校牛专业,JEC726
3864,3,322,23,101,83, 本科：南大，浙大，复旦，上交,TheBlackMamba
4026,3,322,23,101,83, 本科Top15 211,glkwhr
2660,,323,,101,83, 本科Top30 211,sensir
258,3,316,,103,83, 本科：南大，浙大，复旦，上交,tq5124
1476,3,316,,103,83, 本科：北大，清华，科大，中科院，特色学校牛专业,fillchar
1277,3,316,26,105,83, 本科：北大，清华，科大，中科院，特色学校牛专业,mqcherry
1365,,322,,105,83, 本科Top15 211,kcidymckus
2074,3,323,22,97,83.1, 本科Top30 211,李土它
1203,3,319,19,100,83.3, 本科Top15 211,listen8019
2401,,,,,83.37, 本科Top15 211,Alfredfeng
2037,3.5,317,19,105,83.4, 本科：南大，浙大，复旦，上交,tsuruya
2578,,316,22,96,83.5, 本科其他211,oumizx
4272,3,315,23,96,83.5, 本科其他211,li3yang3
4086,4,314,,100,83.7, 本科其他211,ignorer
674,3,326,22,105,83.7, 本科Top15 211,sunnyyuen
3610,3,329,,93,83.81, 本科Top15 211,Psycho
175,3.5,327,23,109,83.9, 本科非211,onlyforreg
337,,319,22,91,84, 本科Top30 211,rackingroll
1259,,318,,92,84,,z1994
2935,,321,,97,84, 本科非211,2003moon
3865,3,309,22,100,84, 本科非211,unimuji
281,3.5,324,22,102,84, 本科其他211,riskjunk
4025,3,323,22,102,84, 本科：南大，浙大，复旦，上交,烫烫烫烫烫
3781,3,321,24,104,84, 本科：南大，浙大，复旦，上交,象象sherry
378,3,327,23,109,84, 本科：南大，浙大，复旦，上交,lutianhan08
1893,3,327,23,109,84, 本科：北大，清华，科大，中科院，特色学校牛专业,saeryn
405,,,,,84, 本科其他211,nickyzhi
2780,,,,,84, 本科Top15 211,Michelleeeeee
4121,3.5,322,,103,84.3, 本科Top30 211,聚散浮云
1966,,318,,105,84.3, 本科非211,Aix
3776,,325,,103,84.31, 本科Top30 211,Amaolll123
938,3,322,20,99,84.4, 本科Top30 211,lunarscar
185,3,313,,105,84.4, 本科Top30 211,lanabc
528,3,320,22,92,84.5, 本科Top30 211,vicky95
2702,,322,,102,84.5, 本科Top30 211,wy3966
1503,3.5,323,23,101,84.56, 本科：北大，清华，科大，中科院，特色学校牛专业,vzhudiv
335,3,326,26,106,84.64,,chen482
661,3,322,22,93,84.7, 本科：北大，清华，科大，中科院，特色学校牛专业,ccty2013
2739,3.5,315,23,100,84.7, 本科其他211,wanghx
1076,,322,23,101,84.8, 本科Top30 211,ypandxy
2280,3,319,23,101,84.8, 本科其他211,仔仔同学等offer
4181,3.5,319,22,107,84.85, 本科：南大，浙大，复旦，上交,Determinant
733,,326,,91,85, 本科其他211,Howie
187,3,313,23,93,85, 本科：北大，清华，科大，中科院，特色学校牛专业,北方的精灵
2080,3,316,19,94,85, 本科Top15 211,ywhust
1077,3,320,,94,85, 本科非211,刘心惠
959,3,322,20,95,85, 本科Top30 211,409661331
2173,3,315,20,96,85, 本科Top15 211,潇湘pooh
3258,3,322,19,97,85, 本科Top15 211,MapleZ
2382,3.5,320,23,99,85, 本科Top30 211,chuck_long
3707,,321,,99,85, 本科Top30 211,yuhaichao10
2250,,309,,100,85, 本科Top15 211,s360564346
2577,3,320,22,101,85, 本科Top30 211,SherryYu
2549,3.5,324,,102,85, 本科：南大，浙大，复旦，上交,xyh
3069,,320,,102,85, 本科Top30 211,soarbus
3592,3.5,315,,102,85, 本科：南大，浙大，复旦，上交,luke_recluse
3230,4,320,23,104,85, 本科非211,adrianluan
3659,3,319,24,104,85, 本科：北大，清华，科大，中科院，特色学校牛专业,northaqua
2671,3.5,329,24,105,85, 本科Top30 211,pwwpcheng
1869,3,331,,105,85,,jigsaw_Becky
1250,3.5,319,22,106,85, 本科其他211,CeciliaM
331,3.5,321,23,106,85, 本科：北大，清华，科大，中科院，特色学校牛专业,ppks710
3902,4,330,23,106,85, 本科：北大，清华，科大，中科院，特色学校牛专业,muzac
3501,3.5,327,,106,85, 本科Top30 211,dvida
2497,3.5,326,,107,85, 本科Top30 211,tyraell
2150,,326,,109,85, 本科Top30 211,marooned
2719,4,326,27,112,85, 本科：南大，浙大，复旦，上交,smilingsoul
3596,,,,,85, 本科Top15 211,vision._.
3799,,319,,,85, 本科：南大，浙大，复旦，上交,121270302
3115,3.5,325,23,108,85.2, 本科：南大，浙大，复旦，上交,yevita
3916,,,,,85.2, 本科：南大，浙大，复旦，上交,onion1222
3228,3.5,321,,90,85.4, 本科Top30 211,multicia
529,3,318,20,99,85.4, 本科非211,cocoabean
4200,3,329,,101,85.4, 本科非211,hoppipollaa
2614,,314,,86,85.5, 本科Top30 211,wad
3843,3,321,22,98,85.5, 本科Top15 211,snowclover
4003,3,324,20,101,85.5, 本科：南大，浙大，复旦，上交,coolxiaobaby
322,3.5,324,,104,85.5, 本科非211,壹心向佛
3851,3.5,320,23,109,85.5, 本科Top15 211,ponbers
2916,,,,,85.5, 本科：北大，清华，科大，中科院，特色学校牛专业,tom10ye
416,3,326,22,100,85.6, 本科：南大，浙大，复旦，上交,tong-1324
4145,3,329,20,103,85.6, 本科Top15 211,download1992
551,,326,,110,85.68,,fasthall
3180,3,321,22,101,85.7, 本科Top30 211,lilyya
3788,,,,,85.8, 本科Top30 211,ARUI35
3132,,322,,82,86, 本科Top15 211,nappingbird
215,3,315,,90,86,,shuier616
3216,,321,,91,86, 本科Top30 211,huangyy1995
3759,3,317,22,93,86, 本科Top30 211,zhangxiaomo
1301,3.5,319,20,94,86,,UCLA_andy
2528,3,314,,94,86,,jasoncn123
2206,2.5,319,,96,86, 本科Top30 211,lilydiaz
1450,3,325,19,97,86, 本科Top15 211,hikigeki
2405,3,327,19,99,86, 本科Top15 211,clownxiao
2796,3,324,18,100,86, 本科：北大，清华，科大，中科院，特色学校牛专业,Casesensiti
3886,3,323,,100,86, 本科Top15 211,skygaze
443,3,318,22,101,86, 本科Top15 211,lmstc16lmstc16
1008,3,326,23,105,86, 本科Top30 211,fengzhiyu17
4264,3,325,23,105,86, 本科Top15 211,mondayjun
437,3,332,,108,86, 本科Top30 211,坑仔
2838,3.5,331,24,109,86, 本科：北大，清华，科大，中科院，特色学校牛专业,naco_siren
327,,,,,86, 本科Top15 211,narcotic
465,,,,,86, 本科Top15 211,Joyce5211
920,,,,,86, 本科Top15 211,butzhang
2645,3,318,,,86, 本科Top30 211,kristenwang23
4268,3,323,22,101,86.14, 本科：南大，浙大，复旦，上交,FFFelix
411,4,316,22,103,86.16, 本科Top30 211,azbycxdz
836,3,319,23,104,86.2, 本科：南大，浙大，复旦，上交,nienty
2338,3,322,23,105,86.21, 本科Top15 211,y6180070
1162,,318,22,98,86.3, 本科Top30 211,allenjack123
2999,3.5,330,24,108,86.33, 本科Top15 211,darkknight18
2075,3,320,,104,86.38, 本科Top15 211,dongsgnod
9,3,320,22,92,86.39, 本科Top15 211,anim20
3765,3.5,324,,100,86.4, 本科Top30 211,yzhang2
4185,,322,22,102,86.5,25%,guolei329
4010,,323,,99,86.6, 本科Top15 211,TWFF
1059,,,,,86.67, 本科Top30 211,alanthink
2096,3,324,24,105,86.7, 本科Top15 211,JBY2016
441,3,323,24,106,86.7, 本科：南大，浙大，复旦，上交,静月流光
414,3,323,23,109,86.7, 本科：南大，浙大，复旦，上交,gc1993114
3133,,,,,86.7, 本科：北大，清华，科大，中科院，特色学校牛专业,家花没有
1472,3,315,22,96,86.75, 本科Top15 211,工图新一
1434,3.5,327,22,109,86.76, 本科Top30 211,小蝈蝈
3320,3,324,23,97,86.8, 本科Top30 211,shijianshi9860
438,,318,22,101,86.8, 本科Top15 211,披着马甲的菠菜
1487,3.5,323,22,101,86.8, 本科Top30 211,Kevin946939
2489,4,318,,103,86.81, 本科Top15 211,阿童木
2130,3,322,,101,86.9, 本科Top30 211,wnbaicai
3377,3.5,326,22,104,86.9, 本科：北大，清华，科大，中科院，特色学校牛专业,jimmy94z
3915,3.5,322,20,107,86.9, 本科：南大，浙大，复旦，上交,onward
3235,3,318,26,109,86.93, 本科：南大，浙大，复旦，上交,ycai
464,,,,,86.96, 本科Top15 211,alphard
574,3,314,20,90,87, 本科非211,玉宇清澄
4152,3,320,17,91,87, 本科Top30 211,stephenshaw
908,3,315,,92,87, 本科非211,zachzhao
496,,315,,93,87, 本科Top15 211,hymhjh
693,3,321,,94,87, 本科Top30 211,fateacher
3857,4,323,19,95,87, 本科其他211,zhanglixue
3400,3,324,20,97,87, 本科Top15 211,SCIN
